,"Proportion of crows",,,"Mosquitoes per crow",,,
9.4,0.861,0.039,0.100,12.795,29.800,0.090,0.112
9.5,0.854,0.041,0.105,12.795,29.789,0.094,0.118
9.6,0.846,0.043,0.111,12.795,29.778,0.099,0.124
9.7,0.838,0.045,0.117,12.795,29.766,0.104,0.131
9.8,0.830,0.047,0.123,12.795,29.754,0.109,0.138
9.9,0.821,0.049,0.130,12.795,29.742,0.114,0.145
10,0.812,0.052,0.136,12.795,29.729,0.120,0.153
10.1,0.802,0.054,0.144,12.795,29.715,0.126,0.161
10.2,0.793,0.056,0.151,12.795,29.701,0.132,0.169
10.3,0.782,0.059,0.159,12.795,29.686,0.138,0.178
10.4,0.772,0.061,0.167,12.795,29.670,0.144,0.187
10.5,0.761,0.064,0.175,12.795,29.654,0.150,0.196
10.6,0.750,0.066,0.184,12.795,29.638,0.157,0.206
10.7,0.738,0.069,0.193,12.795,29.621,0.164,0.216
10.8,0.726,0.072,0.203,12.795,29.603,0.171,0.227
10.9,0.713,0.074,0.212,12.795,29.585,0.178,0.238
11,0.700,0.077,0.223,12.795,29.566,0.185,0.250
11.1,0.687,0.080,0.233,12.795,29.547,0.193,0.261
11.2,0.674,0.082,0.244,12.795,29.527,0.200,0.274
11.3,0.660,0.085,0.255,12.795,29.507,0.208,0.286
11.4,0.645,0.088,0.267,12.795,29.486,0.215,0.300
11.5,0.631,0.090,0.279,12.795,29.465,0.223,0.313
11.6,0.616,0.093,0.291,12.795,29.443,0.231,0.327
11.7,0.601,0.095,0.304,12.795,29.421,0.238,0.341
11.8,0.585,0.098,0.317,12.795,29.399,0.246,0.356
11.9,0.570,0.100,0.330,12.795,29.376,0.254,0.371
12,0.554,0.102,0.344,12.795,29.353,0.261,0.386
12.1,0.538,0.104,0.358,12.795,29.330,0.269,0.402
12.2,0.521,0.106,0.372,12.795,29.307,0.276,0.418
12.3,0.505,0.108,0.387,12.795,29.283,0.283,0.434
12.4,0.489,0.110,0.401,12.795,29.260,0.290,0.451
12.5,0.472,0.112,0.416,12.795,29.236,0.297,0.468
12.6,0.456,0.113,0.432,12.795,29.213,0.303,0.485
12.7,0.439,0.114,0.447,12.795,29.190,0.309,0.502
12.8,0.423,0.115,0.462,12.795,29.167,0.315,0.519
12.9,0.406,0.116,0.478,12.795,29.144,0.320,0.536
13,0.390,0.116,0.494,12.795,29.122,0.325,0.554
13.1,0.374,0.117,0.509,12.795,29.100,0.329,0.571
13.2,0.358,0.117,0.525,12.795,29.079,0.333,0.588
13.3,0.343,0.117,0.541,12.795,29.059,0.337,0.606
13.4,0.327,0.116,0.557,12.795,29.039,0.340,0.623
13.5,0.312,0.116,0.572,12.795,29.020,0.342,0.639
13.6,0.297,0.115,0.588,12.795,29.001,0.344,0.656
13.7,0.283,0.114,0.603,12.795,28.984,0.345,0.672
13.8,0.269,0.113,0.618,12.795,28.967,0.346,0.688
13.9,0.255,0.111,0.634,12.795,28.952,0.346,0.704
14,0.242,0.109,0.648,12.795,28.937,0.345,0.719
14.1,0.229,0.108,0.663,12.795,28.924,0.344,0.733
14.2,0.217,0.106,0.677,12.795,28.912,0.342,0.747
14.3,0.205,0.103,0.692,12.795,28.900,0.340,0.761
14.4,0.194,0.101,0.705,12.795,28.891,0.337,0.774
14.5,0.183,0.099,0.719,12.795,28.882,0.333,0.786
14.6,0.172,0.096,0.732,12.795,28.874,0.329,0.797
14.7,0.162,0.093,0.745,12.795,28.868,0.325,0.808
14.8,0.153,0.090,0.757,12.795,28.863,0.320,0.818
14.9,0.143,0.087,0.769,12.795,28.860,0.314,0.827
15,0.135,0.084,0.781,12.795,28.857,0.308,0.836
15.1,0.127,0.081,0.792,12.795,28.856,0.302,0.843
15.2,0.119,0.078,0.803,12.795,28.856,0.295,0.850
15.3,0.112,0.075,0.813,12.795,28.857,0.288,0.856
15.4,0.105,0.072,0.823,12.795,28.859,0.281,0.861
15.5,0.098,0.069,0.833,12.795,28.863,0.273,0.865
15.6,0.092,0.066,0.842,12.795,28.867,0.266,0.868
15.7,0.086,0.063,0.850,12.795,28.873,0.258,0.870
15.8,0.081,0.060,0.859,12.795,28.879,0.250,0.872
15.9,0.076,0.058,0.867,12.795,28.887,0.242,0.873
16,0.071,0.055,0.874,12.795,28.895,0.233,0.873
16.1,0.066,0.052,0.882,12.795,28.904,0.225,0.872
16.2,0.062,0.049,0.888,12.795,28.914,0.217,0.870
16.3,0.058,0.047,0.895,12.795,28.925,0.209,0.867
16.4,0.055,0.044,0.901,12.795,28.936,0.201,0.864
16.5,0.051,0.042,0.907,12.795,28.948,0.192,0.860
16.6,0.048,0.040,0.912,12.795,28.961,0.185,0.856
16.7,0.045,0.037,0.918,12.795,28.974,0.177,0.850
16.8,0.042,0.035,0.922,12.795,28.988,0.169,0.844
16.9,0.040,0.033,0.927,12.795,29.002,0.161,0.838
17,0.037,0.031,0.931,12.795,29.016,0.154,0.831
17.1,0.035,0.029,0.936,12.795,29.031,0.147,0.823
17.2,0.033,0.028,0.939,12.795,29.046,0.140,0.815
17.3,0.031,0.026,0.943,12.795,29.061,0.133,0.807
17.4,0.029,0.024,0.946,12.795,29.077,0.126,0.798
17.5,0.028,0.023,0.950,12.795,29.093,0.120,0.788
17.6,0.026,0.021,0.953,12.795,29.108,0.114,0.779
17.7,0.025,0.020,0.955,12.795,29.124,0.108,0.769
17.8,0.023,0.019,0.958,12.795,29.141,0.102,0.758
17.9,0.022,0.018,0.960,12.795,29.157,0.097,0.748
18,0.021,0.017,0.963,12.795,29.173,0.092,0.737
18.1,0.020,0.015,0.965,12.795,29.189,0.087,0.726
18.2,0.019,0.014,0.967,12.795,29.205,0.082,0.714
18.3,0.018,0.014,0.969,12.795,29.221,0.077,0.703
18.4,0.017,0.013,0.971,12.795,29.237,0.073,0.691
18.5,0.016,0.012,0.972,12.795,29.253,0.069,0.680
18.6,0.015,0.011,0.974,12.795,29.268,0.065,0.668
18.7,0.014,0.010,0.975,12.795,29.284,0.061,0.656
18.8,0.014,0.010,0.977,12.795,29.299,0.057,0.644
18.9,0.013,0.009,0.978,12.795,29.315,0.054,0.632
19,0.012,0.008,0.979,12.795,29.330,0.051,0.620
19.1,0.012,0.008,0.980,12.795,29.345,0.048,0.609
19.2,0.011,0.007,0.981,12.795,29.359,0.045,0.597
19.3,0.011,0.007,0.982,12.795,29.374,0.042,0.585
19.4,0.010,0.007,0.983,12.795,29.388,0.040,0.573
19.5,0.010,0.006,0.984,12.795,29.402,0.037,0.562
19.6,0.010,0.006,0.985,12.795,29.416,0.035,0.550
19.7,0.009,0.005,0.985,12.795,29.430,0.033,0.538
19.8,0.009,0.005,0.986,12.795,29.443,0.031,0.527
19.9,0.009,0.005,0.987,12.795,29.456,0.029,0.516
20,0.008,0.004,0.987,12.795,29.469,0.027,0.505
20.1,0.008,0.004,0.988,12.795,29.482,0.026,0.494
20.2,0.008,0.004,0.989,12.795,29.494,0.024,0.483
20.3,0.007,0.004,0.989,12.795,29.506,0.023,0.472
20.4,0.007,0.003,0.990,12.795,29.518,0.021,0.461
20.5,0.007,0.003,0.990,12.795,29.530,0.020,0.451
20.6,0.007,0.003,0.990,12.795,29.541,0.019,0.441
20.7,0.006,0.003,0.991,12.795,29.553,0.018,0.431
20.8,0.006,0.003,0.991,12.795,29.564,0.017,0.421
20.9,0.006,0.002,0.991,12.795,29.575,0.016,0.411
21,0.006,0.002,0.992,12.795,29.585,0.015,0.401
21.1,0.006,0.002,0.992,12.795,29.595,0.014,0.392
21.2,0.006,0.002,0.992,12.795,29.605,0.013,0.383
21.3,0.005,0.002,0.993,12.795,29.615,0.012,0.374
21.4,0.005,0.002,0.993,12.795,29.625,0.011,0.365
21.5,0.005,0.002,0.993,12.795,29.634,0.011,0.356
21.6,0.005,0.002,0.993,12.795,29.644,0.010,0.347
21.7,0.005,0.002,0.994,12.795,29.653,0.009,0.339
21.8,0.005,0.001,0.994,12.795,29.661,0.009,0.331
21.9,0.005,0.001,0.994,12.795,29.670,0.008,0.323
22,0.004,0.001,0.994,12.795,29.678,0.008,0.315
22.1,0.004,0.001,0.994,12.795,29.687,0.007,0.307
22.2,0.004,0.001,0.995,12.795,29.695,0.007,0.299
22.3,0.004,0.001,0.995,12.795,29.702,0.007,0.292
22.4,0.004,0.001,0.995,12.795,29.710,0.006,0.285
22.5,0.004,0.001,0.995,12.795,29.718,0.006,0.278
22.6,0.004,0.001,0.995,12.795,29.725,0.006,0.271
22.7,0.004,0.001,0.995,12.795,29.732,0.005,0.264
22.8,0.004,0.001,0.995,12.795,29.739,0.005,0.257
22.9,0.004,0.001,0.995,12.795,29.746,0.005,0.251
23,0.004,0.001,0.996,12.795,29.752,0.004,0.244
23.1,0.004,0.001,0.996,12.795,29.758,0.004,0.238
23.2,0.004,0.001,0.996,12.795,29.765,0.004,0.232
23.3,0.003,0.001,0.996,12.795,29.771,0.004,0.226
23.4,0.003,0.001,0.996,12.795,29.777,0.004,0.221
23.5,0.003,0.001,0.996,12.795,29.783,0.003,0.215
23.6,0.003,0.001,0.996,12.795,29.788,0.003,0.210
23.7,0.003,0.001,0.996,12.795,29.794,0.003,0.204
23.8,0.003,0.001,0.996,12.795,29.799,0.003,0.199
23.9,0.003,0.001,0.996,12.795,29.804,0.003,0.194
24,0.003,0.000,0.996,12.795,29.809,0.003,0.189
24.1,0.003,0.000,0.996,12.795,29.814,0.002,0.184
24.2,0.003,0.000,0.997,12.795,29.819,0.002,0.179
24.3,0.003,0.000,0.997,12.795,29.824,0.002,0.175
24.4,0.003,0.000,0.997,12.795,29.829,0.002,0.170
24.5,0.003,0.000,0.997,12.795,29.833,0.002,0.166
24.6,0.003,0.000,0.997,12.795,29.838,0.002,0.162
24.7,0.003,0.000,0.997,12.795,29.842,0.002,0.157
24.8,0.003,0.000,0.997,12.795,29.846,0.002,0.153
24.9,0.003,0.000,0.997,12.795,29.850,0.002,0.149
25,0.003,0.000,0.997,12.795,29.854,0.002,0.145
25.1,0.003,0.000,0.997,12.795,29.858,0.002,0.142
25.2,0.003,0.000,0.997,12.795,29.862,0.001,0.138
25.3,0.003,0.000,0.997,12.795,29.865,0.001,0.134
25.4,0.003,0.000,0.997,12.795,29.869,0.001,0.131
25.5,0.003,0.000,0.997,12.795,29.872,0.001,0.128
25.6,0.003,0.000,0.997,12.795,29.876,0.001,0.124
25.7,0.003,0.000,0.997,12.795,29.879,0.001,0.121
25.8,0.003,0.000,0.997,12.795,29.882,0.001,0.118
25.9,0.003,0.000,0.997,12.795,29.885,0.001,0.115
26,0.002,0.000,0.997,12.795,29.888,0.001,0.112
26.1,0.002,0.000,0.997,12.795,29.891,0.001,0.109
26.2,0.002,0.000,0.997,12.795,29.894,0.001,0.106
26.3,0.002,0.000,0.997,12.795,29.897,0.001,0.103
26.4,0.002,0.000,0.997,12.795,29.900,0.001,0.101
26.5,0.002,0.000,0.997,12.795,29.902,0.001,0.098
26.6,0.002,0.000,0.997,12.795,29.905,0.001,0.095
26.7,0.002,0.000,0.997,12.795,29.907,0.001,0.093
26.8,0.002,0.000,0.997,12.795,29.910,0.001,0.090
26.9,0.002,0.000,0.998,12.795,29.912,0.001,0.088
27,0.002,0.000,0.998,12.795,29.915,0.001,0.086
27.1,0.002,0.000,0.998,12.795,29.917,0.001,0.083
27.2,0.002,0.000,0.998,12.795,29.919,0.001,0.081
27.3,0.002,0.000,0.998,12.795,29.921,0.001,0.079
27.4,0.002,0.000,0.998,12.795,29.923,0.001,0.077
27.5,0.002,0.000,0.998,12.795,29.925,0.001,0.075
27.6,0.002,0.000,0.998,12.795,29.927,0.001,0.073
27.7,0.002,0.000,0.998,12.795,29.929,0.001,0.071
27.8,0.002,0.000,0.998,12.795,29.931,0.001,0.069
27.9,0.002,0.000,0.998,12.795,29.933,0.000,0.067
28,0.002,0.000,0.998,12.795,29.935,0.000,0.066
28.1,0.002,0.000,0.998,12.795,29.937,0.000,0.064
28.2,0.002,0.000,0.998,12.795,29.938,0.000,0.062
28.3,0.002,0.000,0.998,12.795,29.940,0.000,0.061
28.4,0.002,0.000,0.998,12.795,29.942,0.000,0.059
28.5,0.002,0.000,0.998,12.795,29.943,0.000,0.057
28.6,0.002,0.000,0.998,12.795,29.945,0.000,0.056
28.7,0.002,0.000,0.998,12.795,29.946,0.000,0.054
28.8,0.002,0.000,0.998,12.795,29.948,0.000,0.053
28.9,0.002,0.000,0.998,12.795,29.949,0.000,0.052
29,0.002,0.000,0.998,12.795,29.950,0.000,0.050
29.1,0.002,0.000,0.998,12.795,29.952,0.000,0.049
29.2,0.002,0.000,0.998,12.795,29.953,0.000,0.048
29.3,0.002,0.000,0.998,12.795,29.954,0.000,0.046
29.4,0.002,0.000,0.998,12.795,29.955,0.000,0.045
29.5,0.002,0.000,0.998,12.795,29.957,0.000,0.044
29.6,0.002,0.000,0.998,12.795,29.958,0.000,0.043
29.7,0.002,0.000,0.998,12.795,29.959,0.000,0.042
29.8,0.002,0.000,0.998,12.795,29.960,0.000,0.041
29.9,0.002,0.000,0.998,12.795,29.961,0.000,0.040
30,0.002,0.000,0.998,12.795,29.962,0.000,0.039
30.1,0.002,0.000,0.998,12.795,29.963,0.000,0.037
30.2,0.002,0.000,0.998,12.795,29.964,0.000,0.037
30.3,0.002,0.000,0.998,12.795,29.965,0.000,0.036
30.4,0.002,0.000,0.998,12.795,29.966,0.000,0.035
30.5,0.002,0.000,0.998,12.795,29.967,0.000,0.034
30.6,0.002,0.000,0.998,12.795,29.968,0.000,0.033
30.7,0.002,0.000,0.998,12.795,29.969,0.000,0.032
30.8,0.002,0.000,0.998,12.795,29.970,0.000,0.031
30.9,0.002,0.000,0.998,12.795,29.971,0.000,0.030
31,0.002,0.000,0.998,12.795,29.971,0.000,0.029
31.1,0.002,0.000,0.998,12.795,29.972,0.000,0.029
31.2,0.002,0.000,0.998,12.795,29.973,0.000,0.028
31.3,0.002,0.000,0.998,12.795,29.974,0.000,0.027
31.4,0.002,0.000,0.998,12.795,29.974,0.000,0.026
31.5,0.002,0.000,0.998,12.795,29.975,0.000,0.026
31.6,0.002,0.000,0.998,12.795,29.976,0.000,0.025
31.7,0.002,0.000,0.998,12.795,29.976,0.000,0.024
31.8,0.002,0.000,0.998,12.795,29.977,0.000,0.024
31.9,0.002,0.000,0.998,12.795,29.978,0.000,0.023
32,0.002,0.000,0.998,12.795,29.978,0.000,0.023
32.1,0.002,0.000,0.998,12.795,29.979,0.000,0.022
32.2,0.002,0.000,0.998,12.795,29.979,0.000,0.021
32.3,0.002,0.000,0.998,12.795,29.980,0.000,0.021
32.4,0.002,0.000,0.998,12.795,29.981,0.000,0.020
32.5,0.002,0.000,0.998,12.795,29.981,0.000,0.020
32.6,0.002,0.000,0.998,12.795,29.982,0.000,0.019
32.7,0.002,0.000,0.998,12.795,29.982,0.000,0.019
32.8,0.002,0.000,0.998,12.795,29.983,0.000,0.018
32.9,0.002,0.000,0.998,12.795,29.983,0.000,0.018
33,0.002,0.000,0.998,12.795,29.984,0.000,0.017
33.1,0.002,0.000,0.998,12.795,29.984,0.000,0.017
33.2,0.002,0.000,0.998,12.795,29.985,0.000,0.016
33.3,0.002,0.000,0.998,12.795,29.985,0.000,0.016
33.4,0.002,0.000,0.998,12.795,29.985,0.000,0.015
33.5,0.002,0.000,0.998,12.795,29.986,0.000,0.015
33.6,0.002,0.000,0.998,12.795,29.986,0.000,0.015
33.7,0.002,0.000,0.998,12.795,29.987,0.000,0.014
33.8,0.002,0.000,0.998,12.795,29.987,0.000,0.014
33.9,0.002,0.000,0.998,12.795,29.987,0.000,0.014
34,0.002,0.000,0.998,12.795,29.988,0.000,0.013
34.1,0.002,0.000,0.998,12.795,29.988,0.000,0.013
34.2,0.002,0.000,0.998,12.795,29.988,0.000,0.012
34.3,0.002,0.000,0.998,12.795,29.989,0.000,0.012
34.4,0.002,0.000,0.998,12.795,29.989,0.000,0.012
34.5,0.002,0.000,0.998,12.795,29.989,0.000,0.012
34.6,0.002,0.000,0.998,12.795,29.990,0.000,0.011
34.7,0.002,0.000,0.998,12.795,29.990,0.000,0.011
34.8,0.002,0.000,0.998,12.795,29.990,0.000,0.011
34.9,0.002,0.000,0.998,12.795,29.991,0.000,0.010
35,0.002,0.000,0.998,12.795,29.991,0.000,0.010
35.1,0.002,0.000,0.998,12.795,29.991,0.000,0.010
35.2,0.002,0.000,0.998,12.795,29.991,0.000,0.010
35.3,0.002,0.000,0.998,12.795,29.992,0.000,0.009
35.4,0.002,0.000,0.998,12.795,29.992,0.000,0.009
35.5,0.002,0.000,0.998,12.795,29.992,0.000,0.009
35.6,0.002,0.000,0.998,12.795,29.992,0.000,0.009
35.7,0.002,0.000,0.998,12.795,29.993,0.000,0.008
35.8,0.002,0.000,0.998,12.795,29.993,0.000,0.008
35.9,0.002,0.000,0.998,12.795,29.993,0.000,0.008
36,0.002,0.000,0.998,12.795,29.993,0.000,0.008
36.1,0.002,0.000,0.998,12.795,29.993,0.000,0.008
36.2,0.002,0.000,0.998,12.795,29.994,0.000,0.007
36.3,0.002,0.000,0.998,12.795,29.994,0.000,0.007
36.4,0.002,0.000,0.998,12.795,29.994,0.000,0.007
36.5,0.002,0.000,0.998,12.795,29.994,0.000,0.007
36.6,0.002,0.000,0.998,12.795,29.994,0.000,0.007
36.7,0.002,0.000,0.998,12.795,29.995,0.000,0.006
36.8,0.002,0.000,0.998,12.795,29.995,0.000,0.006
36.9,0.002,0.000,0.998,12.795,29.995,0.000,0.006
37,0.002,0.000,0.998,12.795,29.995,0.000,0.006
37.1,0.002,0.000,0.998,12.795,29.995,0.000,0.006
37.2,0.002,0.000,0.998,12.795,29.995,0.000,0.006
37.3,0.002,0.000,0.998,12.795,29.996,0.000,0.005
37.4,0.002,0.000,0.998,12.795,29.996,0.000,0.005
37.5,0.002,0.000,0.998,12.795,29.996,0.000,0.005
37.6,0.002,0.000,0.998,12.795,29.996,0.000,0.005
37.7,0.002,0.000,0.998,12.795,29.996,0.000,0.005
37.8,0.002,0.000,0.998,12.795,29.996,0.000,0.005
37.9,0.002,0.000,0.998,12.795,29.996,0.000,0.005
38,0.002,0.000,0.998,12.795,29.996,0.000,0.005
38.1,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.2,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.3,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.4,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.5,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.6,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.7,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.8,0.002,0.000,0.998,12.795,29.997,0.000,0.004
38.9,0.002,0.000,0.998,12.795,29.997,0.000,0.004
39,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.1,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.2,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.3,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.4,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.5,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.6,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.7,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.8,0.002,0.000,0.998,12.795,29.998,0.000,0.003
39.9,0.002,0.000,0.998,12.795,29.998,0.000,0.003
40,0.002,0.000,0.998,12.795,29.998,0.000,0.003
40.1,0.002,0.000,0.998,12.795,29.998,0.000,0.003
40.2,0.002,0.000,0.998,12.795,29.998,0.000,0.002
40.3,0.002,0.000,0.998,12.795,29.999,0.000,0.002
40.4,0.002,0.000,0.998,12.795,29.999,0.000,0.002
40.5,0.002,0.000,0.998,12.795,29.999,0.000,0.002
40.6,0.002,0.000,0.998,12.795,29.999,0.000,0.002
40.7,0.002,0.000,0.998,12.795,29.999,0.000,0.002
40.8,0.002,0.000,0.998,12.795,29.999,0.000,0.002
40.9,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.1,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.2,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.3,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.4,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.5,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.6,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.7,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.8,0.002,0.000,0.998,12.795,29.999,0.000,0.002
41.9,0.002,0.000,0.998,12.795,29.999,0.000,0.002
42,0.002,0.000,0.998,12.795,29.999,0.000,0.002
42.1,0.002,0.000,0.998,12.795,29.999,0.000,0.001
42.2,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.3,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.4,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.5,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.6,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.7,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.8,0.002,0.000,0.998,12.795,30.000,0.000,0.001
42.9,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.1,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.2,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.3,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.4,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.5,0.002,0.000,0.998,12.795,30.000,0.000,0.001
43.6,0.002,0.000,0.998,12.795,30.000,0.000,0.001
